"REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","TOTALBTU"
27,3815.110532,15,3,3,"U",1,39,8609,0,0,0,0,0,29374
27,8995.312865,24,2,3,"U",1,4602,5556,125,0,0,0,40000,31770
27,9263.264735,1,2,3,"R",1,5698,23246,0,0,0,0,40000,79315
27,6276.513659,4,3,2,"U",2,5220,7069,0,0,0,0,0,24119
27,8854.896149,9,2,3,"U",1,4857,9026,0,0,337,0,0,77536
27,9131.565906,17,2,3,"R",1,5755,8145,918,0,0,0,0,121886
27,8236.297817,11,5,3,"R",1,6021,21920,0,0,0,0,0,74791
27,13676.76073,13,1,3,"U",1,4638,11519,653,0,0,0,0,106236
27,10588.35991,9,4,3,"U",1,4610,9639,443,0,0,0,0,78295
27,9008.73187,9,3,1,"U",2,16,4006,0,0,0,0,0,13668
27,10207.56162,13,1,2,"U",2,5311,4703,61,0,0,0,0,22300
27,9550.265714,6,2,3,"U",1,4598,13850,0,0,0,0,0,47256
27,7942.960618,15,2,3,"U",1,4743,4075,493,0,0,0,0,64437
27,11535.94649,20,2,3,"R",1,5189,11566,0,0,0,0,40000,39463
27,11386.30304,7,1,1,"U",2,5086,7784,0,0,0,0,0,26559
27,7566.834204,4,3,NA,"U",2,0,2559,0,421,0,0,0,47181
27,5211.538743,16,2,3,"U",1,4825,5905,541,0,0,0,10000,75601
27,8236.298534,6,2,4,"U",1,4959,22480,0,0,0,15,0,78717
27,7951.518624,24,7,7,"U",2,16,18218,121,332,0,0,0,104884
27,8640.830969,7,5,2,"R",3,6188,21330,0,0,0,0,0,72778
27,12367.40845,17,1,1,"U",1,4773,2786,0,0,0,0,0,9506
27,11925.0351,15,1,2,"U",2,4818,2503,365,0,0,0,0,45953
27,7136.883253,23,4,5,"U",1,10094,17395,2148,0,0,0,0,279522
27,13851.28395,23,2,4,"R",1,5216,12383,0,518,0,0,0,89560
27,9131.566265,18,4,4,"U",1,4805,14612,604,0,0,0,0,111766
27,11636.38794,15,1,1,"U",1,0,4072,0,0,0,0,0,13894
27,10270.16157,15,2,2,"U",2,4898,10445,502,0,0,0,0,87093
27,7942.959374,22,3,3,"U",1,4855,6840,267,0,0,0,0,50706
27,7757.697842,13,2,4,"U",1,6161,14932,0,0,0,0,40000,50948
27,14531.59256,17,2,2,"U",1,6092,14313,0,76,0,0,0,55726
27,10651.14449,6,3,1,"U",2,4916,9852,0,0,0,0,0,33615
27,8236.297858,11,3,2,"U",1,5031,14888,0,0,0,0,0,50798
27,9401.190296,15,2,3,"U",1,4767,21887,0,0,0,0,0,74678
27,13976.01877,7,1,1,"U",2,4556,10646,0,0,0,0,0,36324
27,21509.20869,24,2,3,"U",1,4138,13191,1175,0,0,0,0,165446
27,17649.62328,9,2,2,"U",2,5205,8545,0,0,0,0,0,29156
27,8236.299166,22,2,3,"U",1,5250,20319,0,0,0,0,20000,69328
27,10469.8995,7,4,2,"R",3,9479,8632,509,0,0,0,0,81625
27,10651.14449,13,2,1,"U",2,4553,7235,0,0,0,0,0,24686
27,11655.00162,23,3,6,"U",1,4813,14145,1413,0,0,0,0,193096
27,7837.836823,1,5,4,"U",2,4980,16084,0,0,0,0,0,54879
27,10270.16096,24,10,5,"R",1,6385,77622,53,0,0,0,0,270279
27,8724.987676,24,4,4,"R",1,4975,9250,0,415,0,0,20000,69478
27,12563.52116,15,1,1,"U",2,4256,3045,266,0,0,0,0,37655
27,10270.16234,7,3,3,"U",1,6581,9886,1117,0,0,0,0,148224
27,7059.118274,22,4,4,"U",1,5045,10349,700,0,0,0,0,107061
27,7951.519832,6,4,4,"U",1,44,7602,0,0,0,0,0,25938
27,7757.701336,10,5,3,"U",1,6100,21987,0,568,0,0,0,126918
27,8010.976489,6,3,3,"U",2,4935,18877,0,0,0,0,0,64408
27,9131.565906,11,2,3,"U",1,6064,10228,749,0,0,0,0,111671
27,7951.518624,18,14,7,"U",1,0,24835,0,0,0,0,0,84737
27,15692.90828,2,2,2,"U",2,4914,5407,0,0,0,0,0,18449
27,12789.88041,17,3,3,"U",1,5361,4785,599,0,0,0,0,77724
27,6731.634831,11,1,5,"U",1,4760,6905,737,0,0,0,0,99103
27,8640.829386,8,4,2,"U",1,6597,18385,0,0,0,0,0,62730
27,10460.3464,8,1,2,"U",2,0,4809,0,0,0,0,0,16408
27,12102.54009,16,2,2,"U",1,4077,24480,0,0,0,0,0,83526
27,12739.74094,7,1,2,"U",1,4741,23177,0,0,0,0,0,79080
27,10651.14125,23,4,2,"U",2,4797,13505,0,0,0,0,0,46079
27,10588.35969,1,4,3,"U",1,4333,10597,1039,0,0,0,0,142655
27,11636.38922,11,1,NA,"U",2,17,11915,0,0,0,0,0,40654
27,10494.88114,6,2,2,"U",2,6649,5334,0,0,0,0,0,18200
27,9263.26538,6,5,4,"U",1,4983,11136,280,0,0,0,0,66696
27,10588.35953,23,4,3,"U",1,4225,20674,1688,0,0,0,0,243560
27,7136.883771,18,2,3,"U",2,10725,8866,4501,0,0,0,0,491604
27,11655.0009,24,2,4,"U",1,5691,9100,1142,0,0,0,0,148104
27,10820.04076,8,2,1,"U",2,4659,5810,0,0,0,0,0,19824
27,8236.297774,17,3,3,"U",1,4992,14722,25,0,0,0,10000,52794
27,8138.720781,10,2,3,"U",1,4832,12914,0,0,0,0,80000,44063
27,10444.76547,12,1,2,"U",1,4438,5814,0,0,381,0,0,72630
27,12367.40596,9,1,1,"U",2,4850,6077,0,0,0,0,10000,20735
27,12789.88041,24,3,4,"U",1,5278,15345,773,0,0,0,0,131590
27,9263.265359,8,5,3,"R",1,5652,32623,0,0,0,0,0,111310
27,8724.988281,7,5,2,"U",1,6498,10237,515,0,0,0,80000,87717
27,9263.266661,18,2,3,"R",1,5767,10844,0,0,0,0,10000,37000
27,10602.97467,14,1,3,"U",1,5154,8913,556,0,0,0,10000,87401
27,10270.16067,16,4,5,"U",3,5057,29113,423,0,0,0,0,142692
27,5211.538743,24,2,3,"U",1,4766,7620,979,0,0,0,0,126347
27,9131.565906,14,4,3,"U",1,5913,13701,523,0,0,0,0,100356
27,8138.720462,10,2,1,"R",1,6243,10562,0,533,0,0,0,84717
27,11655.0021,23,4,4,"U",1,5727,8105,437,0,0,0,20000,72447
27,10423.07973,24,4,4,"U",1,4767,8118,937,0,0,0,0,123742
27,11535.94742,18,4,4,"U",1,5150,27835,0,0,0,0,20000,94973
27,11910.02072,6,2,2,"U",2,4822,6228,0,0,0,0,0,21250
