"","cx","cy","REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","wKWH"
"7374",369.333333333333,23.5018677461215,27,9550.265714,6,2,3,"U",1,4598,13850,0,0,0,0,0,132271180.1389
"7390",108.666666666667,-48.7624931688558,27,7942.960618,15,2,3,"U",1,4743,4075,493,0,0,0,0,32367564.51835
"7446",308.426666666667,42.1812355168806,27,11535.94649,20,2,3,"R",1,5189,11566,0,0,0,0,40000,133424757.10334
"7472",207.573333333333,-24.6876178563682,27,11386.30304,7,1,1,"U",2,5086,7784,0,0,0,0,0,88630982.86336
"7483",68.24,-7.87895941782383,27,7566.834204,4,3,NA,"U",2,0,2559,0,421,0,0,0,19363528.728036
"7510",157.466666666667,27.7772032389925,27,5211.538743,16,2,3,"U",1,4825,5905,541,0,0,0,10000,30774136.277415
"7523",599.466666666667,23.2569241039888,27,8236.298534,6,2,4,"U",1,4959,22480,0,0,0,15,0,185151991.04432
"7537",485.813333333333,-26.6078165043668,27,7951.518624,24,7,7,"U",2,16,18218,121,332,0,0,0,144860766.292032
"7578",568.8,0.39833078588396,27,8640.830969,7,5,2,"R",3,6188,21330,0,0,0,0,0,184308924.56877
"7594",74.2933333333333,-12.6309518938283,27,12367.40845,17,1,1,"U",1,4773,2786,0,0,0,0,0,34455599.9417
"7633",66.7466666666667,83.4634864323349,27,11925.0351,15,1,2,"U",2,4818,2503,365,0,0,0,0,29848362.8553
"7687",463.866666666667,11.0234534187514,27,7136.883253,23,4,5,"U",1,10094,17395,2148,0,0,0,0,124146084.185935
"7697",330.213333333333,-49.4235817156124,27,13851.28395,23,2,4,"R",1,5216,12383,0,518,0,0,0,171520449.15285
"7703",389.653333333333,17.469863458262,27,9131.566265,18,4,4,"U",1,4805,14612,604,0,0,0,0,133430446.26418
"7750",108.586666666667,-29.7484180373213,27,11636.38794,15,1,1,"U",1,0,4072,0,0,0,0,0,47383371.69168
"7771",278.533333333333,24.0148714399901,27,10270.16157,15,2,2,"U",2,4898,10445,502,0,0,0,0,107271837.59865
"7791",182.4,3.56335536880471,27,7942.959374,22,3,3,"U",1,4855,6840,267,0,0,0,0,54329842.11816
"7831",398.186666666667,8.19398504145393,27,7757.697842,13,2,4,"U",1,6161,14932,0,0,0,0,40000,115837944.176744
"7834",381.68,1.6848818144374,27,14531.59256,17,2,2,"U",1,6092,14313,0,76,0,0,0,207990684.31128
"7875",262.72,-13.4507943998154,27,10651.14449,6,3,1,"U",2,4916,9852,0,0,0,0,0,104935075.51548
"7886",397.013333333333,5.06096208779751,27,8236.297858,11,3,2,"U",1,5031,14888,0,0,0,0,0,122622002.509904
"7897",583.653333333333,-6.04343964656294,27,9401.190296,15,2,3,"U",1,4767,21887,0,0,0,0,0,205763852.008552
"7929",283.893333333333,6.56548768064754,27,13976.01877,7,1,1,"U",2,4556,10646,0,0,0,0,0,148788695.82542
"7960",351.76,13.385289228563,27,21509.20869,24,2,3,"U",1,4138,13191,1175,0,0,0,0,283727971.82979
"7966",227.866666666667,-54.2388603179615,27,17649.62328,9,2,2,"U",2,5205,8545,0,0,0,0,0,150816030.9276
"8004",541.84,-9.92749736660241,27,8236.299166,22,2,3,"U",1,5250,20319,0,0,0,0,20000,167353362.753954
"8014",230.186666666667,-4.29272813734712,27,10469.8995,7,4,2,"R",3,9479,8632,509,0,0,0,0,90376172.484
"8018",192.933333333333,-22.0591142993706,27,10651.14449,13,2,1,"U",2,4553,7235,0,0,0,0,0,77061030.38515
"8066",377.2,-1.51774695000013,27,11655.00162,23,3,6,"U",1,4813,14145,1413,0,0,0,0,164859997.9149
"8084",428.906666666667,14.4457067040561,27,7837.836823,1,5,4,"U",2,4980,16084,0,0,0,0,0,126063767.461132
"8113",800,-25.8849233841472,27,10270.16096,24,10,5,"R",1,6385,77622,53,0,0,0,0,797190434.03712
"8119",246.666666666667,-2.76545597303862,27,8724.987676,24,4,4,"R",1,4975,9250,0,415,0,0,20000,80706136.003
"8176",81.2,-13.4981272142813,27,12563.52116,15,1,1,"U",2,4256,3045,266,0,0,0,0,38255921.9322
"8220",263.626666666667,19.0041022905514,27,10270.16234,7,3,3,"U",1,6581,9886,1117,0,0,0,0,101530824.89324
"8292",275.973333333333,-2.57848832026872,27,7059.118274,22,4,4,"U",1,5045,10349,700,0,0,0,0,73054815.017626
"8326",202.72,0.760124173401725,27,7951.519832,6,4,4,"U",1,44,7602,0,0,0,0,0,60447453.762864
"8345",586.32,4.84021092284432,27,7757.701336,10,5,3,"U",1,6100,21987,0,568,0,0,0,170568579.274632
"8375",503.386666666667,5.10668689432292,27,8010.976489,6,3,3,"U",2,4935,18877,0,0,0,0,0,151223203.182853
"8433",272.746666666667,-53.5634241985465,27,9131.565906,11,2,3,"U",1,6064,10228,749,0,0,0,0,93397656.086568
"8446",662.266666666667,26.9091626787996,27,7951.518624,18,14,7,"U",1,0,24835,0,0,0,0,0,197475965.02704
"8468",144.186666666667,9.37419035013184,27,15692.90828,2,2,2,"U",2,4914,5407,0,0,0,0,0,84851555.06996
"8474",127.6,29.1120532852314,27,12789.88041,17,3,3,"U",1,5361,4785,599,0,0,0,0,61199577.76185
"8482",184.133333333333,-16.5271196301476,27,6731.634831,11,1,5,"U",1,4760,6905,737,0,0,0,0,46481938.508055
"8526",490.266666666667,49.1072217519683,27,8640.829386,8,4,2,"U",1,6597,18385,0,0,0,0,0,158861648.26161
"8562",128.24,-29.1802379265194,27,10460.3464,8,1,2,"U",2,0,4809,0,0,0,0,0,50303805.8376
"8577",652.8,-68.9476646163638,27,12102.54009,16,2,2,"U",1,4077,24480,0,0,0,0,0,296270181.4032
"8589",618.053333333333,-1.4642006584381,27,12739.74094,7,1,2,"U",1,4741,23177,0,0,0,0,0,295268975.76638
"8603",360.133333333333,-3.39576866367285,27,10651.14125,23,4,2,"U",2,4797,13505,0,0,0,0,0,143843662.58125
"8610",282.586666666667,16.9372305912154,27,10588.35969,1,4,3,"U",1,4333,10597,1039,0,0,0,0,112204847.63493
"8625",317.733333333333,-1.22773763538552,27,11636.38922,11,1,NA,"U",2,17,11915,0,0,0,0,0,138647577.5563
"8631",142.24,-64.8357898091569,27,10494.88114,6,2,2,"U",2,6649,5334,0,0,0,0,0,55979696.00076
"8680",296.96,-33.0868661650133,27,9263.26538,6,5,4,"U",1,4983,11136,280,0,0,0,0,103155723.27168
"8692",551.306666666667,-34.157484849205,27,10588.35953,23,4,3,"U",1,4225,20674,1688,0,0,0,0,218903744.92322
