"","cx","cy","MONEYPY","BEDROOMS","UR","KOWNRENT","wKWH","NWEIGHT","income_group_level"
"71",854.212020724841,17.2497523359507,"$10,000 to $14,999",3,"Urban","Owned",30061,13394.78234,"5"
"72",326.390189774554,29.9253273020359,"$100,000 to $119,999",3,"Urban","Owned",12239.6321165458,94140.869242,"23"
"73",353.975656867494,20.9775103038339,"$120,000 or More",3,"Urban","Owned",13274.087132531,174740.952552,"24"
"74",314.732060087101,18.1738345899805,"$15,000 to $19,999",3,"Urban","Owned",11802.4522532663,46944.516834,"6"
"75",331.286366753722,9.4105535512483,"$20,000 to $24,999",3,"Urban","Owned",12423.2387532646,75255.857438,"7"
"76",382.563624603308,18.7450347075773,"$25,000 to $29,999",3,"Urban","Owned",14346.1359226241,40790.687426,"8"
"77",249.595360312263,-29.1039156896433,"$30,000 to $34,999",3,"Urban","Owned",9359.82601170988,19443.256059,"9"
"78",436.410919798795,9.42663504630778,"$35,000 to $39,999",3,"Urban","Owned",16365.4094924548,24132.722185,"10"
"79",331.266256726669,50.1211500808774,"$40,000 to $44,999",3,"Urban","Owned",12422.4846272501,23419.161997,"11"
"80",224.461603358689,-18.8937063766538,"$45,000 to $49,999",3,"Urban","Owned",8417.31012595083,44055.340882,"12"
"81",95.1733333333333,-25.6341657489538,"$5,000 to $7,499",3,"Urban","Owned",3569,9007.728757,"3"
"82",243.124864756945,25.0788471065185,"$50,000 to $54,999",3,"Urban","Owned",9117.18242838544,52237.836118,"13"
"83",280.088918128611,9.02871659506033,"$55,000 to $59,999",3,"Urban","Owned",10503.3344298229,47824.473805,"14"
"84",344.303165422088,-1.58885940996407,"$60,000 to $64,999",3,"Urban","Owned",12911.3687033283,70005.244509,"15"
"85",301.507063752877,-12.9484899754616,"$65,000 to $69,999",3,"Urban","Owned",11306.5148907329,31754.864281,"16"
"86",248.750570811095,9.33879441681734,"$70,000 to $74,999",3,"Urban","Owned",9328.14640541605,53448.566394,"17"
"87",310.419887742411,-25.5312976437603,"$75,000 to $79,999",3,"Urban","Owned",11640.7457903404,39497.823647,"18"
"88",351.002849912063,37.9447510238527,"$80,000 to $84,999",3,"Urban","Owned",13162.6068717023,16054.431789,"19"
"89",328.793115455027,-19.3671985965687,"$85,000 to $89,999",3,"Urban","Owned",12329.7418295635,61267.332532,"20"
"90",289.120752518999,17.9724950281683,"$95,000 to $99,999",3,"Urban","Owned",10842.0282194625,33586.303363,"22"
"91",549.902079184282,-8.42489178143671,"Less than $2,500",3,"Urban","Owned",20621.3279694106,31119.62354,"1"
"92",336.48,20.6668092519892,"$10,000 to $14,999",4,"Urban","Owned",12618,13851.28453,"5"
"93",388.850909979625,-0.510446231562682,"$100,000 to $119,999",4,"Urban","Owned",14581.9091242359,61909.598816,"23"
"94",357.023298254646,-35.0397393650513,"$120,000 or More",4,"Urban","Owned",13388.3736845492,125494.773783,"24"
