"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"65",19.3148573344891,-16.8202789759778,172.390802507767,43.2313789247956,"$60,000 to $64,999",2,"Urban","Owned",2.63,82.11,24186.086541,"15"
"66",22.386326625986,67.3535466571182,296.516984670737,-3.58249019986413,"$65,000 to $69,999",2,"Urban","Owned",3.05,141.23,49424.281527,"16"
"67",23.1786891478062,-41.6896154397487,274.541910408901,32.3355000856053,"$70,000 to $74,999",2,"Urban","Owned",3.16,130.76,21668.475813,"17"
"68",20.7668173753555,-57.4837326223732,296.850978292423,32.7776009735837,"$85,000 to $89,999",2,"Urban","Owned",2.83,141.39,7164.223489,"20"
"69",15.3790226517737,28.8858489535713,208.910019544329,-30.71464810159,"$100,000 to $119,999",2,"Urban","Owned",2.09,99.5,17852.998034,"23"
"70",14.811985349724,-7.66690619583937,139.037659572508,-7.28869807720184,"$120,000 or More",2,"Urban","Owned",2.02,66.22,30476.170018,"24"
"71",407.354194802241,7.33727818727493,540.748081975831,-9.05899182984463,"Less than $2,500",3,"Urban","Owned",55.47,257.56,31119.62354,"1"
"72",5.24200942164537,75.1447692685568,74.9318297988301,-25.6341657489538,"$5,000 to $7,499",3,"Urban","Owned",0.71,35.69,9007.728757,"3"
"73",44.15243631944,-18.3940172646777,845.33155253344,-16.6637174338102,"$10,000 to $14,999",3,"Urban","Owned",6.01,300.61,13394.78234,"5"
"74",24.7425368420362,-59.9957238090639,249.912459125493,-5.18504355750655,"$15,000 to $19,999",3,"Urban","Owned",3.37,119.03,46944.516834,"6"
"75",20.7525506933342,79.9287867656124,261.544622452247,48.6812717179949,"$20,000 to $24,999",3,"Urban","Owned",2.83,124.57,75255.857438,"7"
"76",22.8815619502175,0.151377875066004,301.717442724805,17.9320460750175,"$25,000 to $29,999",3,"Urban","Owned",3.12,143.71,40790.687426,"8"
"77",412.823809658013,-10.958251580596,310.603173042657,24.0639240973031,"$30,000 to $34,999",3,"Urban","Owned",56.21,147.94,19443.256059,"9"
"78",24.0368816891378,-37.7672482591254,343.594866538746,-13.6038479338804,"$35,000 to $39,999",3,"Urban","Owned",3.27,163.65,24132.722185,"10"
"79",23.0656042515901,-57.3999728950988,262.190384324138,-58.5576359203856,"$40,000 to $44,999",3,"Urban","Owned",3.14,124.88,23419.161997,"11"
